Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Sjøtrøa 23,46/489/0/0,6818000,70,320000,4452600,1.8,8014,Ingen,1.0
Vidhaugen 93,46/492/0/0,5484000,70,320000,3518800,1.8,6333,Ingen,1.0
VIDHAUGEN 95,46/493/0/0,5331000,70,320000,3411700,1.8,6141,Ingen,1.0
Vidhaugen 97,46/494/0/0,5331000,70,320000,3411700,1.8,6141,Ingen,1.0
VIDHAUGEN 99,46/495/0/0,7347000,70,320000,4822900,1.8,8681,Ingen,1.0
VIDHAUGEN 101,46/496/0/0,4972000,70,320000,3160400,1.8,5688,Ingen,1.0
Vidhaugen 103,46/497/0/0,6408000,70,320000,4165600,1.8,7498,Ingen,1.0
VIDHAUGEN 105,46/498/0/0,6299000,70,320000,4089300,1.8,7360,Ingen,1.0
VIDHAUGEN 107,46/499/0/0,5555000,70,320000,3568500,1.8,6423,Ingen,1.0
VIDHAUGEN 109,46/500/0/0,6515000,70,320000,4240500,1.8,7632,Ingen,1.0
VIDHAUGEN 111,46/501/0/0,5932000,70,320000,3832400,1.8,6898,Ingen,1.0
VIDHAUGEN 113,46/502/0/0,5290000,70,320000,3383000,1.8,6089,Ingen,1.0
Vidhaugen 115,46/503/0/0,6408000,70,320000,4165600,1.8,7498,Ingen,1.0
46/506/0/0 0,46/506/0/0,0,100,0,0,1.8,0,Ingen,1.0
Brakkerigg ved Sveberglia 5 0,46/507/0/0,0,100,0,0,1.8,0,Ingen,1.0
Øvre Sveberglia 1,46/512/0/0,8427000,70,320000,5578900,1.8,10042,Ingen,1.0
ØVRE SVEBERGLIA 2,46/513/0/0,8773000,70,320000,5821100,1.8,10477,Ingen,1.0
Øvre Sveberglia 3,46/514/0/0,9267000,70,320000,6166900,1.8,11100,Ingen,1.0
Øvre Sveberglia 4,46/515/0/0,7500000,70,640000,4610000,1.8,8298,Ingen,2.0
Øvre Sveberglia 5,46/516/0/0,9267000,70,320000,6166900,1.8,11100,Ingen,1.0
ØVRE SVEBERGLIA 6,46/517/0/0,8804000,70,320000,5842800,1.8,10517,Ingen,1.0
ØVRE SVEBERGLIA 7,46/518/0/0,5472000,70,640000,3190400,1.8,5742,Ingen,2.0
Øvre Sveberglia 8,46/519/0/0,9414000,70,320000,6269800,1.8,11285,Ingen,1.0
ØVRE SVEBERGLIA 9,46/520/0/0,8109000,70,640000,5036300,1.8,9065,Ingen,2.0
Øvre Sveberglia 10,46/521/0/0,6807000,70,640000,4124900,1.8,7424,Ingen,2.0
ØVRE SVEBERGLIA 11,46/522/0/0,8534000,70,640000,5333800,1.8,9600,Ingen,2.0
Øvre Sveberglia 12,46/523/0/0,7198000,70,320000,4718600,1.8,8493,Ingen,1.0
Øvre Sveberglia 13,46/524/0/0,7498000,70,640000,4608600,1.8,8295,Ingen,2.0
ØVRE SVEBERGLIA 15,46/526/0/0,7800000,70,640000,4820000,1.8,8676,Ingen,2.0
ØVRE SVEBERGLIA 17,46/527/0/0,6027000,70,320000,3898900,1.8,7018,Ingen,1.0
Øvre Sveberglia 19,46/528/0/0,6299000,70,320000,4089300,1.8,7360,Ingen,1.0
Øvre Sveberglia 21,46/529/0/0,10305000,70,320000,6893500,1.8,12408,Ingen,1.0
ØVRE SVEBERGLIA 23,46/530/0/0,8107000,70,320000,5354900,1.8,9638,Ingen,1.0
Øvre Sveberglia 25,46/531/0/0,7786000,70,640000,4810200,1.8,8658,Ingen,2.0
Øvre Sveberglia 27,46/532/0/0,8459000,70,320000,5601300,1.8,10082,Ingen,1.0
Øvre Sveberglia 29,46/533/0/0,7229000,70,320000,4740300,1.8,8532,Ingen,1.0
Øvre Sveberglia 31,46/534/0/0,7147000,70,320000,4682900,1.8,8429,Ingen,1.0
ØVRE SVEBERGLIA 30,46/535/0/0,8990000,70,640000,5653000,1.8,10175,Ingen,2.0
Øvre Sveberglia 40,46/536/0/0,10295000,70,320000,6886500,1.8,12395,Ingen,1.0
Øvre Sveberglia 42,46/537/0/0,8804000,70,320000,5842800,1.8,10517,Ingen,1.0
ØVRE SVEBERGLIA 44,46/538/0/0,10822000,70,320000,7255400,1.8,13059,Ingen,1.0
Øvre Sveberglia 46,46/539/0/0,9175000,70,640000,5782500,1.8,10408,Ingen,2.0
Øvre Sveberglia 48,46/540/0/0,8617000,70,320000,5711900,1.8,10281,Ingen,1.0
ØVRE SVEBERGLIA 50,46/541/0/0,9448000,70,320000,6293600,1.8,11328,Ingen,1.0
