Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Sakslundvegen 3A,1/256/0/0,3 346 000,70%,200 000 2 142 200,"1,9‰",4 070,Ingen,
Nordlistien 6,1/257/0/0,6 312 000,70%,400 000 4 018 400,"1,9‰",7 634,Ingen,
Magnus Barfots Veg 16B,1/260/0/0,4 218 000,70%,200 000 2 752 600,"1,9‰",5 229,Ingen,
Armfeldts Veg 13,1/261/0/0,4 061 000,70%,200 000 2 642 700,"1,9‰",5 021,Ingen,
Tillegg Til Knausen 0,1/262/0/0,105 000,100%,0 105 000,"1,9‰",199,Ingen,
Åslyvegen 5,1/264/0/0,6 961 000,70%,200 000 4 672 700,"1,9‰",8 878,Ingen,
Magnus Barfots Veg 18A,1/266/0/0,4 578 000,70%,200 000 3 004 600,"1,9‰",5 708,Ingen,
Nedre Stibakken 14,1/268/0/0,7 587 000,70%,200 000 5 110 900,"1,9‰",9 710,Ingen,
Nedre Stibakken 7,1/269/0/0,4 885 000,70%,400 000 3 019 500,"1,9‰",5 737,Ingen,
Nedre Stibakken 3,1/270/0/0,4 908 000,70%,400 000 3 035 600,"1,9‰",5 767,Ingen,
Johan Ellingsens Veg 10,1/271/0/0,6 018 000,70%,200 000 4 012 600,"1,9‰",7 623,Ingen,
Nedre Stibakken 5,1/272/0/0,4 885 000,70%,200 000 3 219 500,"1,9‰",6 117,Ingen,
