Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Svehøgda 4,46/370/0/0,4555000,70,2000002988,500,1.9,5678,Ingen
Svehøgda 8,46/371/0/0,4600000,70,2000003020,000,1.9,5738,Ingen
Svehøgda 10,46/372/0/0,4495000,70,2000002946,500,1.9,5598,Ingen
Svehøgda 12,46/373/0/0,4845000,70,2000003191,500,1.9,6063,Ingen
Svehøgda 74,46/374/0/0,5607000,70,2000003724,900,1.9,7077,Ingen
Svehøgda 72,46/375/0/0,6287000,70,2000004200,900,1.9,7981,Ingen
Svehøgda 96,46/376/0/0,6445000,70,2000004311,500,1.9,8191,Ingen
Svehøgda 94,46/377/0/0,10992000,70,4000007294,400,1.9,13859,Ingen
Svehøgda 92,46/378/0/0,8509000,70,2000005756,300,1.9,10936,Ingen
Svehøgda 90,46/379/0/0,8190000,70,2000005533,000,1.9,10512,Ingen
Svehøgda 88,46/380/0/0,7878000,70,2000005314,600,1.9,10097,Ingen
Svehøgda 86,46/381/0/0,9156000,70,4000006009,200,1.9,11417,Ingen
Svehøgda 84,46/382/0/0,10443000,70,4000006910,100,1.9,13129,Ingen
Svehøgda 76,46/383/0/0,5691000,70,2000003783,700,1.9,7189,Ingen
Svehøgda 78,46/384/0/0,9941000,70,4000006558,700,1.9,12461,Ingen
Svehøgda 80,46/385/0/0,5006000,70,2000003304,200,1.9,6277,Ingen
Svehøgda 82,46/386/0/0,9984000,70,2000006788,800,1.9,12898,Ingen
Svehøgda 164,46/387/0/0,7368000,70,2000004957,600,1.9,9419,Ingen
Svehøgda 152,46/388/0/0,5467000,70,2000003626,900,1.9,6891,Ingen
Svehøgda 50,46/390/0/0,5210000,70,2000003447,000,1.9,6549,Ingen
Svehøgda 52,46/391/0/0,4505000,70,2000002953,500,1.9,5611,Ingen
Svehøgda 54,46/392/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Svehøgda 56,46/393/0/0,5408000,70,4000003385,600,1.9,6432,Ingen
Svehøgda 58,46/394/0/0,5746000,70,2000003822,200,1.9,7262,Ingen
Svehøgda 60,46/395/0/0,5551000,70,2000003685,700,1.9,7002,Ingen
Svehøgda 62,46/396/0/0,5691000,70,2000003783,700,1.9,7189,Ingen
